state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,1
California,1
Colorado,0
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,1
Louisiana,0
Maine,0
Maryland,2
Massachusetts,1
Michigan,0
Minnesota,0
Missouri,0
Mississippi,1
Montana,0
North Carolina,1
North Dakota,0
Nebraska,0
New Hampshire,1
New Jersey,1
New Mexico,0
Nevada,1
New York,1
Ohio,1
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,1
Texas,0
Utah,1
Virginia,2
Vermont,1
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0
